university_name,teaching,research,income,1,2,3,Cluster
Alexandria University,20.3,8.2,29.7,79.0918293588605,13.650983833173271,54.63070613879695,2
Alexandru Ioan Cuza University,24.9,13.6,28.2,73.08331440777083,9.527782172039402,52.80863616136652,2
Aligarh Muslim University,28.3,10.0,29.6,73.73882109439604,11.672588268182679,52.5248221521261,2
American University of Sharjah,12.4,10.6,33.3,80.67388464740118,15.725773682212127,53.10920037370832,2
Anadolu University,12.2,22.6,100.0,81.06628480183407,65.64571968879396,33.36151222094168,3
Andhra University,34.8,6.9,31.3,73.00034742618118,16.40637255667017,52.21109270424951,2
University of Antioquia,18.1,21.1,43.6,66.83600772908592,10.71904410953256,38.31665503698867,2
Aristotle University of Thessaloniki,22.6,15.0,33.6,71.29810404215392,5.553931444063114,47.8421755037048,2
"Asia University, Taiwan",14.4,15.9,38.4,74.17808594987153,11.656491927591329,46.0030987028116,2
Athens University of Economics and Business,13.4,18.8,66.5,71.07754124138981,32.95588673855808,26.62987283667848,3
